Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8146965_2	(1.0, 74.18772050596026)	(2.0, 15.445621000876898)	(3.0, 5.76806668535296)	(4.0, 2.2034607120305503)	(5.0, 0.8898146203476599)	(6.0, 0.4249656573589105)	(7.0, 0.25013693261598446)	(8.0, 0.17274545993730797)	(9.0, 0.10623897237389533)	('>10', 0.4775466356312643)	('>50', 0.05053205024053057)	('>100', 0.023150767273829365)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146969_1	(1.0, 64.31531172409346)	(2.0, 19.793554571578227)	(3.0, 7.823047542410118)	(4.0, 3.345334341426031)	(5.0, 1.4241139101657216)	(6.0, 0.7282185604947423)	(7.0, 0.3989079694404883)	(8.0, 0.21690522072348298)	(9.0, 0.16570250772804615)	('>10', 1.5636454765853318)	('>50', 0.20115945557741519)	('>100', 0.010110202910481232)	('>500', 0.0)	('>1k', 0.013988516866490195)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146969_2	(1.0, 66.56087806686818)	(2.0, 19.31776555956775)	(3.0, 7.201323173983034)	(4.0, 2.8092252234608823)	(5.0, 1.2595664928470216)	(6.0, 0.6438034841674887)	(7.0, 0.30021962156956433)	(8.0, 0.21288957696145966)	(9.0, 0.14146492969706814)	('>10', 1.334784332896345)	('>50', 0.19284108645767717)	('>100', 0.014005445670802325)	('>500', 0.0)	('>1k', 0.011233005852719318)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146970_1	(1.0, 57.364858004237675)	(2.0, 19.241050325682814)	(3.0, 9.159746699517129)	(4.0, 4.861963384196476)	(5.0, 2.9985988380836393)	(6.0, 1.8271600620301316)	(7.0, 1.1023006686600414)	(8.0, 0.7466272235940468)	(9.0, 0.5060674334905835)	('>10', 2.1598232498240404)	('>50', 0.019831999707575987)	('>100', 0.00349001372713189)	('>500', 0.0)	('>1k', 0.008482097248748597)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146970_2	(1.0, 60.14176121574445)	(2.0, 18.9022958153805)	(3.0, 8.593152170274623)	(4.0, 4.449709530253691)	(5.0, 2.535873883456975)	(6.0, 1.517384191841076)	(7.0, 0.9279863165525317)	(8.0, 0.6426608478323532)	(9.0, 0.4494467234566689)	('>10', 1.817957580601575)	('>50', 0.008782529297310791)	('>100', 0.0042811361663459)	('>500', 0.0)	('>1k', 0.008708059141885657)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146971_1	(1.0, 74.05446590768085)	(2.0, 16.428433836958575)	(3.0, 5.087058163849253)	(4.0, 1.955486153271915)	(5.0, 0.925306558143409)	(6.0, 0.4376209545615039)	(7.0, 0.2679619125489272)	(8.0, 0.17450981311527605)	(9.0, 0.09898784783528411)	('>10', 0.5600672465800577)	('>50', 0.0065042184430528435)	('>100', 0.0012404411353789996)	('>500', 0.0023569458765530815)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146971_2	(1.0, 81.20299595232527)	(2.0, 11.994844408144614)	(3.0, 3.636797494628868)	(4.0, 1.4409931176770887)	(5.0, 0.6410666824047363)	(6.0, 0.30586579830213495)	(7.0, 0.17832209229320892)	(8.0, 0.10794187530331689)	(9.0, 0.08081094953880363)	('>10', 0.4055285261868827)	('>50', 0.0010783444180481735)	('>100', 0.001246275682130762)	('>500', 0.0025084830949284017)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146972_1	(1.0, 86.69620985223668)	(2.0, 10.825699232261142)	(3.0, 1.6747535473728794)	(4.0, 0.40113547573538255)	(5.0, 0.15813970062874266)	(6.0, 0.09688020601491874)	(7.0, 0.054598362574601204)	(8.0, 0.029376859840623652)	(9.0, 0.019283327013922966)	('>10', 0.03784372915590566)	('>50', 0.001115850339362086)	('>100', 0.004963856825866256)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146972_2	(1.0, 90.85051654839926)	(2.0, 7.480162279861196)	(3.0, 1.139983873123578)	(4.0, 0.27145465676328306)	(5.0, 0.10475614730391546)	(6.0, 0.0555035810490032)	(7.0, 0.04751905546806864)	(8.0, 0.011142271689801794)	(9.0, 0.015222392833185302)	('>10', 0.016382078758031337)	('>50', 0.002271771376704453)	('>100', 0.005085343373979636)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146975_1	(1.0, 64.2971469542314)	(2.0, 18.780045574452593)	(3.0, 7.271164616026236)	(4.0, 3.1296508958496734)	(5.0, 1.4958354135154328)	(6.0, 0.8947913640750945)	(7.0, 0.5900153598814037)	(8.0, 0.41038712293570806)	(9.0, 0.32717313072497206)	('>10', 2.7377575993907564)	('>50', 0.0163017000656433)	('>100', 0.011329677180153841)	('>500', 0.00443615148414095)	('>1k', 0.033964440186727854)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146975_2	(1.0, 74.78490202910291)	(2.0, 13.526901623459874)	(3.0, 5.054218195155767)	(4.0, 2.060895872965208)	(5.0, 1.0334342240264849)	(6.0, 0.6014390072253202)	(7.0, 0.41496385206752257)	(8.0, 0.2864532368953235)	(9.0, 0.2403999623319353)	('>10', 1.9419639677499743)	('>50', 0.006495757418517512)	('>100', 0.007862164939008903)	('>500', 0.004717662652873047)	('>1k', 0.03535244400930456)	('>5k', 0.0)	('>10k+', 0.0)
